control_id,coso_component,coso_principle,control_name,control_detail,type,frequency,owner_stakeholder,status,evidence_artifact
C-01,Control Environment,1,SoD Policy — Procurement vs Receiving,Procurement authorization (PO issuance) hard-separated from warehouse receiving acceptance; dual-signature required at inbound,Preventive,Transaction,Shipper,Effective,SoD policy document + ERP role-based access control screenshots + dual-signature PO-to-receiving workflow log
C-02,Control Environment,2,Payment Authorization Separation,Carrier rate negotiation (dispatch) and payment release (finance/mgmt) assigned to distinct ERP accounts; counter-signature required,Preventive,Transaction,Shipper,Effective,ERP permission audit log + counter-signature records on 20 carrier payment approvals + zero payment disputes post-implementation
C-03,Control Environment,3,PDA Device Accountability,Each PDA scanner assigned to named employee; sign-in/sign-out log maintained; unauthorized device use triggers alert,Preventive,Daily,Shipper,Effective,PDA device register + daily sign-in/sign-out log (8 months) + zero unauthorized device incidents
C-04,Risk Assessment,7,Height/Weight/Abnormal Cargo Risk Classification,Incoming cargo auto-classified by WMS: standard / overlimit-height / overweight / abnormal. Amazon FBA restrictions enforced at classification,Detective,Transaction,Supplier,Effective,WMS cargo classification schema (4 risk tiers) + overlimit height alert log + abnormal cargo register (8-month log)
C-05,Risk Assessment,8,Billing Anomaly Detection — Automated Variance Alert,BI dashboard flags carrier invoices deviating >10% from contracted rate; WMS pallet dim/weight checked against carrier measurement,Detective,Weekly,Vendor,Effective,Tableau variance dashboard (8 months of weekly reports) + 3 billing anomaly alerts triggered → $2400 recovered + carrier invoice vs WMS reconciliation log
C-06,Control Activities,10,Film-Wrap-Before-Label SOP,All pallets must be stretch-wrapped before label application. PDA scan confirms SOP completion before outbound clearance,Preventive,Transaction,Shipper,Effective,Outbound photo log (pre/post wrap confirmation per shipment) + PDA scan sequence records + zero FBA packaging rejections after SOP
C-07,Control Activities,10,PDA Scan — Inbound & Outbound Verification,Mandatory PDA barcode scan at inbound receiving AND outbound loading. Timestamp logged in WMS. Discrepancies auto-flagged,Preventive,Transaction,Shipper,Effective,WMS PDA scan log (inbound/outbound timestamps) + discrepancy flag log + 99.2% scan completion rate across 8 months
C-08,Control Activities,11,Dual Verification at Outbound Loading,Two-person outbound verification: loader + supervisor independently count and sign off before truck departure,Preventive,Transaction,Shipper,Effective,Dual-sign outbound checklist (per shipment) + loaded truck photo (timestamped) + zero short-load incidents post-implementation
C-09,Control Activities,11,WMS Metadata Audit — Pallet Dims & Weight,Weekly audit of pallet dimensions (LxWxH) and weight in Lingxing WMS vs actual carrier measurement,Detective,Weekly,Shipper,Effective,Weekly WMS audit report (32 weekly audits) + 12% billing dispute reduction post-implementation + carrier measurement reconciliation
C-10,Control Activities,12,Insurance Claim Documentation Protocol,5-party claim checklist: BOL + POD + WMS cargo record + photo evidence + carrier liability acknowledgment. All 5 required before claim submission,Corrective,Event-driven,Shipper,Effective,Claim protocol checklist template + 3 claims filed → 3 resolved → 100% asset value recovered + photo evidence archive
C-11,Information & Communication,14,BI Dashboard — Real-Time Cost Monitoring,Tableau dashboard tracking shipping cost vs budget carrier rate vs contract billing deviation trends. Distributed to all 5 stakeholders weekly,Detective,Daily/Weekly,Shipper,Effective,Tableau dashboard screenshots + weekly distribution email log (5 stakeholders confirmed) + 3 cost anomalies detected (~$2400 protected)
C-12,Information & Communication,15,Standardized Cross-Border Data Handoff,Defined required data fields at each custody transfer: PO number cargo dims weight HS code insurance value driver license plate,Preventive,Transaction,Vendor,Effective,Data handoff checklist (fields required per transfer point) + WMS data entry error rate -28% after standardization + carrier check-in time -18 min per appointment
C-13,Monitoring,17,Daily Outbound Summary + Weekly Anomaly Review,Daily outbound count summary report distributed to management. Weekly anomaly review meeting covering billing disputes SoD flags hold-cargo status WMS discrepancies,Detective,Daily/Weekly,Shipper,Effective,Daily outbound summary reports (8-month archive) + weekly anomaly review meeting minutes + hold-cargo status log (all items cleared within SLA)
